OBJECTID,jurisdiccion_residencia,poblacion
447,Buenos Aires,17709598
446,Río Negro,757052
433,Santa Fe,3563390
430,Mendoza,2010363
434,Entre Ríos,1398510
449,Misiones,1274992
428,Neuquén,672461
438,Tucumán,1714487
429,La Pampa,361394
427,CABA,3078836
450,Salta,1441988
445,Chubut,629181
432,Córdoba,3798261
444,Santa Cruz,374756
442,Santiago del Estero,988245
436,La Rioja,398648
439,Jujuy,779212
448,Corrientes,1130320
441,Formosa,610019
437,Catamarca,418991
440,Chaco,1216247
431,San Luis,514610
435,San Juan,789489
443,Tierra del Fuego,177697
